"","cutoffs","sensitivity","specificity","misclass_rate"
"1",0.02,0.983501006036217,0.0580738276376624,0.888894013467392
"2",0.03,0.980684104627767,0.0639203503021111,0.883543953509824
"3",0.05,0.734808853118712,0.469091709679787,0.515681210220459
"4",0.07,0.221327967806841,0.913818831184716,0.125864772622452
"5",0.08,0.184708249496982,0.938623743242252,0.104579835808505
"6",0.09,0.168209255533199,0.945962474620221,0.098607139562771
"7",0.1,0.164185110663984,0.948213018909465,0.0967161700950097
"8",0.15,0.104225352112676,0.972210670515424,0.0775297481782123
"9",0.2,0.0229376257545272,0.995376599231879,0.0603495987455032
"10",0.5,0.00160965794768612,0.999902150248294,0.0573055991144728
